1565,Winnipeg,Canada,YWG,CYWG,49.9099998474,-97.2398986816,160,Winnipeg / James Armstrong Richardson International Airport,,"{'1589': {66: 65, 106: 79}, '1536': {94: 106}, '1550': {78: 70}, '1579': {106: 79}, '1564': {66: 101, 106: 78}, '1546': {96: 79, 78: 105}, '1540': {106: 79, 94: 106}, '1491': {106: 79}, '1539': {106: 96}, '1568': {106: 96}, '1533': {78: 70, 94: 106}, '1502': {78: 70}, '1529': {106: 79}, '1557': {106: 79}, '1585': {78: 70}, '1553': {78: 105}, '1497': {78: 70}, '1545': {94: 106}, '1746': {106: 79}, '1575': {106: 79}}"
1566,Wabush,Canada,YWK,CYWK,52.9219017028809,-66.8644027709961,161,Wabush Airport,,"{'1557': {92: 94}, '1586': {92: 94}, '1596': {92: 94}, '1484': {92: 113}, '1592': {92: 94}, '1518': {92: 113}}"
1568,Saskatoon,Canada,YXE,CYXE,52.1707992553711,-106.699996948242,166,Saskatoon John G. Diefenbaker International Airport,,"{'1589': {66: 101, 106: 79}, '1746': {106: 79}, '1565': {106: 96}, '1564': {106: 79}, '1491': {106: 96}, '1579': {106: 79}}"
1569,Fort Saint John,Canada,YXJ,CYXJ,56.2380981445313,-120.73999786377,168,Fort St John Airport,,"{'1491': {81: 98}, '1564': {106: 96}, '1579': {106: 96}}"
1570,Sioux Lookout,Canada,YXL,CYXL,50.113899230957,-91.9052963256836,169,Sioux Lookout Airport,,"{'1540': {94: 106}, '1504': {94: 106}, '1545': {94: 106}}"
1571,Whale Cove,Canada,YXN,CYXN,62.2400016785,-92.5980987549,5534,Whale Cove Airport,,"{'1492': {96: 70, 78: 70}, '1546': {96: 70, 78: 70}}"
1572,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.7136001587,170,Pangnirtung Airport,,"{'1495': {96: 70, 79: 95}, '1560': {96: 70, 79: 95}}"
1573,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,172,Prince George Airport,,"{'1574': {81: 95}, '1564': {106: 79}, '1579': {81: 95, 106: 78}}"
1574,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,173,Northwest Regional Airport Terrace-Kitimat,,"{'1573': {81: 95}, '1564': {106: 96}}"
1575,London,Canada,YXU,CYXU,43.035599,-81.1539,174,London Airport,,"{'1565': {106: 79}, '1579': {106: 79}}"
